Burmese	English	Gender
ျမဝင္း	Mya Win 	F
ျမဝင္းၾကည္	Mya Win Kyi 	F
ျမရီ	Mya Yi 	F
ျမရင္၊ ျမယဥ္	Mya Yin 	F
ျမေဇာ္	Mya Zaw 	M
ျမဇင္	Mya Zin 	M
ၿမိဳင္	Myaing 	M
ၿမိဳင္	Myaing 	F
ျမတ္ေအာင္	Myat Aung 	M
ျမတ္ခ်ဳိဝင္း	Myat Cho Win 	M
ျမတ္ေဌး	Myat Htay 	M
ျမတ္ထြဋ္	Myat Htut 	M
ျမတ္ေထြး	Myat Htwe 	M
ျမတ္ခိုင္	Myat Khaing 	M
ျမတ္ခိုင္	Myat Khaing 	F
ျမတ္ခင္	Myat Khin 	M
ျမတ္ကို	Myat Ko 	M
ျမတ္ကိုကို	Myat Ko Ko 	M
ျမတ္ေက်ာ္	Myat Kyaw 	M
ျမတ္လင္း	Myat Lin 	M
ျမတ္လြင္	Myat Lwin 	M
ျမတ္မင္း	Myat Min 	M
ျမတ္မိုး	Myat Moe 	M
ျမတ္မြန္	Myat Mon 	F
ျမတ္ျမတ္ေအး	Myat Myat Aye 	F
ျမတ္ျမတ္ေထြး	Myat Myat Htwe 	F
ျမတ္ျမတ္ခိုင္	Myat Myat Khaing 	F
ျမတ္ျမတ္ေမာ္	Myat Myat Maw 	F
ျမတ္ျမတ္မိုး	Myat Myat Moe 	F
ျမတ္ျမတ္မြန္	Myat Myat Mon 	F
ျမတ္ျမတ္စိုး	Myat Myat Soe 	F
ျမတ္ျမတ္ဝင္း	Myat Myat Win 	F
ျမတ္ႏိုင္	Myat Naing 	M
ျမတ္ႏြယ္	Myat Nwe 	F
ျမတ္ၿငိမ္း	Myat Nyein 	M
ျမတ္ဦး	Myat Oo 	M
ျမတ္စန္း	Myat San 	M
ျမတ္စိုး	Myat Soe 	M
ျမတ္ေဆြ	Myat Swe 	M
ျမတ္သန္း	Myat Than 	M
ျမတ္သိန္း	Myat Thein 	M
ျမတ္သိန္းထြန္း	Myat Thein Tun 	M
ျမတ္သင္းေအာင္	Myat Thin Aung 	M
ျမတ္သူ	Myat Thu 	M
ျမတ္သူရ	Myat Thura 	M
ျမတ္သြယ္	Myat Thwe 	F
ျမတ္ထြန္း	Myat Tun 	M
ျမတ္ထြန္းေအာင္	Myat Tun Aung 	M
ျမတ္ဝင္း	Myat Win 	M
ျမတ္ေဇာ္	Myat Zaw 	M
ျမင့္	Myint 	M
ျမင့္	Myint 	F
ျမင့္ေအာင္	Myint Aung 	M
ျမင့္ေအး	Myint Aye 	M
ျမင့္ေအး	Myint Aye 	F
ျမင့္ခ်ဳိ	Myint Cho 	M
ျမင့္ဟန္	Myint Han 	M
ျမင့္လႈိင္	Myint Hlaing 	M
ျမင့္ေဌး	Myint Htay 	M
ျမင့္ေဌး	Myint Htay 	F
ျမင့္ထူး	Myint Htoo 	M
ျမင့္ေထြး	Myint Htwe 	M
ျမင့္ခိုင္	Myint Khaing 	M
ျမင့္ခိုင္	Myint Khaing 	F
ျမင့္ခင္	Myint Khin 	M
ျမင့္ခင္	Myint Khin 	F
ျမင့္ကို	Myint Ko 	M
ျမင့္ကိုကို	Myint Ko Ko 	M
ျမင့္ႀကိဳင္	Myint Kyaing 	M
ျမင့္ေက်ာ္	Myint Kyaw 	M
ျမင့္ေက်ာ္ဦး	Myint Kyaw Oo 	M
ျမင့္ၾကည္	Myint Kyi 	M
ျမင့္ၾကည္	Myint Kyi 	F
ျမင့္ၾကဴ	Myint Kyu 	M
ျမင့္ၾကဴ	Myint Kyu 	F
ျမင့္ႂကြယ္	Myint Kywe 	M
ျမင့္ေလး	Myint Lay 	M
ျမင့္လြင္	Myint Lwin 	M
ျမင့္လြင္ဦး	Myint Lwin Oo 	M
ျမင့္ေမာင္	Myint Maung 	M
ျမင့္ေမာင္ေမာင္	Myint Maung Maung 	M
ျမင့္ေမာ္	Myint Maw 	M
ျမင့္ေမ	Myint May 	F
ျမင့္ျမင့္	Myint Myint 	F
ျမင့္ျမင့္ေအာင္	Myint Myint Aung 	F
ျမင့္ျမင့္ေအး	Myint Myint Aye 	F
ျမင့္ျမင့္ခ်ဳိ	Myint Myint Cho 	F
ျမင့္ျမင့္ဟန္	Myint Myint Han 	F
ျမင့္ျမင့္လႈိင္	Myint Myint Hlaing 	F
ျမင့္ျမင့္ေဌး	Myint Myint Htay 	F
ျမင့္ျမင့္ေထြး	Myint Myint Htwe 	F
ျမင့္ျမင့္ခိုင္	Myint Myint Khaing 	F
ျမင့္ျမင့္ခင္	Myint Myint Khin 	F
ျမင့္ျမင့္ေက်ာ္	Myint Myint Kyaw 	F
ျမင့္ျမင့္ၾကည္	Myint Myint Kyi 	F
ျမင့္ျမင့္ၾကဴ	Myint Myint Kyu 	F
ျမင့္ျမင့္လြင္	Myint Myint Lwin 	F
ျမင့္ျမင့္မာ	Myint Myint Mar 	F
ျမင့္ျမင့္ေမာ္	Myint Myint Maw 	F
ျမင့္ျမင့္ေမ	Myint Myint May 	F
ျမင့္ျမင့္မြန္	Myint Myint Mon 	F
ျမင့္ျမင့္မူ	Myint Myint Mu 	F
ျမင့္ျမင့္ႏိုင္	Myint Myint Naing 	F
ျမင့္ျမင့္ႏြယ္	Myint Myint Nwe 	F
ျမင့္ျမင့္အုန္း	Myint Myint Ohn 	F
ျမင့္ျမင့္ဦး	Myint Myint Oo 	F
ျမင့္ျမင့္စန္း	Myint Myint San 	F
ျမင့္ျမင့္ေစာ	Myint Myint Saw 	F
ျမင့္ျမင့္စိန္	Myint Myint Sein 	F
ျမင့္ျမင့္႐ွိန္	Myint Myint Shein 	F
ျမင့္ျမင့္ေ႐ႊ	Myint Myint Shwe 	F
ျမင့္ျမင့္စီ	Myint Myint Si 	F
ျမင့္ျမင့္စိုး	Myint Myint Soe 	F
ျမင့္ျမင့္ေဆြ	Myint Myint Swe 	F
ျမင့္ျမင့္သန္း	Myint Myint Than 	F
ျမင့္ျမင့္ေသာင္း	Myint Myint Thaung 	F
ျမင့္ျမင့္သိန္း	Myint Myint Thein 	F
ျမင့္ျမင့္သီ	Myint Myint Thi 	F
ျမင့္ျမင့္သင္း	Myint Myint Thin 	F
ျမင့္ျမင့္သူ	Myint Myint Thu 	F
ျမင့္ျမင့္သြယ္	Myint Myint Thwe 	F
ျမင့္ျမင့္တင္	Myint Myint Tin 	F
ျမင့္ျမင့္ထြန္း	Myint Myint Tun 	F
ျမင့္ျမင့္ေဝ	Myint Myint Wai 	F
ျမင့္ျမင့္ဝင္း	Myint Myint Win 	F
ျမင့္ျမင့္ရည္	Myint Myint Ye 	F
ျမင့္ျမင့္ရီ	Myint Myint Yi 	F
ျမင့္ျမင့္ရင္၊ ျမင့္ျမင့္ယဥ္	Myint Myint Yin 	F
ျမင့္ႏိုင္	Myint Naing 	M
ျမင့္ႏိုင္ဦး	Myint Naing Oo 	M
ျမင့္ေငြ	Myint Ngwe 	M
ျမင့္ႏြယ္	Myint Nwe 	M
ျမင့္ၿငိမ္း	Myint Nyein 	M
ျမင့္အုန္း	Myint Ohn 	M
ျမင့္ဦး	Myint Oo 	M
ျမင့္ေဖ	Myint Pe 	M
ျမင့္စန္း	Myint San 	M
ျမင့္စန္း	Myint San 	F
ျမင့္ေဆာင္	Myint Saung 	M
ျမင့္ေစာ	Myint Saw 	M
ျမင့္စိန္	Myint Sein 	M
ျမင့္စိန္	Myint Sein 	F
ျမင့္႐ွိန္	Myint Shein 	M
ျမင့္ေ႐ႊ	Myint Shwe 	M
ျမင့္စိုး	Myint Soe 	M
ျမင့္စိုးထြန္း	Myint Soe Tun 	M
ျမင့္ေဆြ	Myint Swe 	M
ျမင့္ေဆြ	Myint Swe 	F
ျမင့္ေဆြဦး	Myint Swe Oo 	M
ျမင့္သန္း	Myint Than 	M
ျမင့္သန္း	Myint Than 	F
ျမင့္သန္းဦး	Myint Than Oo 	M
ျမင့္ေသာင္း	Myint Thaung 	M
ျမင့္သိန္း	Myint Thein 	M
ျမင့္သိန္း	Myint Thein 	F
ျမင့္သိန္းလြင္	Myint Thein Lwin 	M
ျမင့္သိန္းႏိုင္	Myint Thein Naing 	M
ျမင့္သိန္းဦး	Myint Thein Oo 	M
ျမင့္သိန္းထြန္း	Myint Thein Tun 	M
ျမင့္သူ	Myint Thu 	M
ျမင့္သူဇာ	Myint Thuzar 	F
ျမင့္သြင္	Myint Thwin 	M
ျမင့္တင္	Myint Tin 	M
ျမင့္ထြန္း	Myint Tun 	M
ျမင့္ေဝ	Myint Wai 	M
ျမင့္ေဝ	Myint Wai 	F
ျမင့္ဝင္း	Myint Win 	M
ျမင့္ဝင္း	Myint Win 	F
ျမင့္ရီ	Myint Yi 	M
ျမင့္ရီ	Myint Yi 	F
ျမင့္ေဇာ္	Myint Zaw 	M
ျမင့္ေဇာ္ဦး	Myint Zaw Oo 	M
မၪၨဴ	Myint Zu 	F
မ်ဳိး	Myo 	M
မ်ဳိးေအာင္	Myo Aung 	M
မ်ဳိးေအး	Myo Aye 	M
မ်ဳိးခ်စ္	Myo Chit 	M
မ်ဳိးဟန္	Myo Han 	M
မ်ဳိးဟိန္း	Myo Hein 	M
မ်ဳိးလွ	Myo Hla 	M
မ်ဳိးလႈိင္	Myo Hlaing 	M
မ်ဳိးထြဋ္	Myo Htut 	M
မ်ဳိးေထြး	Myo Htwe 	M
မ်ဳိးခိုင္	Myo Khaing 	M
မ်ဳိးခင္	Myo Khin 	M
မ်ဳိးကိုကို	Myo Ko Ko 	M
မ်ဳိးေက်ာ္	Myo Kyaw 	M
မ်ဳိးေက်ာ္ေအာင္	Myo Kyaw Aung 	M
မ်ဳိးၾကည္	Myo Kyi 	M
မ်ဳိးႂကြယ္	Myo Kywe 	M
မ်ဳိးလင္း	Myo Lin 	M
မ်ဳိးလြင္	Myo Lwin 	M
မ်ဳိးလြင္ဦး	Myo Lwin Oo 	M
မ်ဳိးေမာင္	Myo Maung 	M
မ်ဳိးေမာ္	Myo Maw 	M
မ်ဳိးမင္း	Myo Min 	M
မ်ဳိးမင္းေအာင္	Myo Min Aung 	M
မ်ဳိးမင္းထြဋ္	Myo Min Htut 	M
မ်ဳိးမင္းခိုင္	Myo Min Khaing 	M
မ်ဳိးမင္းလတ္	Myo Min Lat 	M
မ်ဳိးမင္းဦး	Myo Min Oo 	M
မ်ဳိးမင္းစိုး	Myo Min Soe 	M
မ်ဳိးမင္းသန္႔	Myo Min Thant 	M
မ်ဳိးမင္းသိန္း	Myo Min Thein 	M
မ်ဳိးမင္းထြန္း	Myo Min Tun 	M
မ်ဳိးမင္းေဇာ္	Myo Min Zaw 	M
မ်ဳိးျမတ္	Myo Myat 	M
မ်ဳိးျမင့္	Myo Myint 	M
မ်ဳိးျမင့္ေအာင္	Myo Myint Aung 	M
မ်ဳိးျမင့္ခိုင္	Myo Myint Khaing 	M
မ်ဳိးျမင့္လြင္	Myo Myint Lwin 	M
မ်ဳိးျမင့္ေမာင္	Myo Myint Maung 	M
မ်ဳိးျမင့္ႏိုင္	Myo Myint Naing 	M
မ်ဳိးျမင့္ဦး	Myo Myint Oo 	M
မ်ဳိးျမင့္သန္း	Myo Myint Than 	M
မ်ဳိးျမင့္သိန္း	Myo Myint Thein 	M
မ်ဳိးျမင့္ထြန္း	Myo Myint Tun 	M
မ်ဳိးျမင့္ဝင္း	Myo Myint Win 	M
မ်ဳိးမ်ဳိး	Myo Myo 	F
မ်ဳိးမ်ဳိးေအး	Myo Myo Aye 	F
မ်ဳိးမ်ဳိးခိုင္	Myo Myo Khaing 	F
မ်ဳိးႏိုင္	Myo Naing 	M
မ်ဳိးႏိုင္ဦး	Myo Naing Oo 	M
မ်ဳိးေနာင္	Myo Naung 	M
မ်ဳိးၫြန္႔	Myo Nyunt 	M
မ်ဳိးၫြန္႔ေအာင္	Myo Nyunt Aung 	M
မ်ဳိးၫြန္႔ေဆြ	Myo Nyunt Swe 	M
မ်ဳိးဦး	Myo Oo 	M
မ်ဳိးစန္း	Myo San 	M
မ်ဳိးစိန္	Myo Sein 	M
မ်ဳိးစက္	Myo Set 	M
မ်ဳိးေ႐ႊ	Myo Shwe 	M
မ်ဳိးေဆြ	Myo Swe 	M
မ်ဳိးသန္း	Myo Than 	M
မ်ဳိးသန္႔	Myo Thant 	M
မ်ဳိးသန္႔ထြန္း	Myo Thant Tun 	M
မ်ဳိးသန္႔ဝင္း	Myo Thant Win 	M
မ်ဳိးေသာ္	Myo Thaw 	M
မ်ဳိးေသာ္ဇင္	Myo Thaw Zin 	M
မ်ဳိးသိန္း	Myo Thein 	M
မ်ဳိးသက္	Myo Thet 	M
မ်ဳိးသူ	Myo Thu 	M
မ်ဳိးသူရ	Myo Thura 	M
မ်ဳိးသြင္	Myo Thwin 	M
မ်ဳိးတင္	Myo Tin 	M
မ်ဳိးတင့္	Myo Tint 	M
မ်ဳိးထြန္း	Myo Tun 	M
မ်ဳိးေဝ	Myo Wai 	M
မ်ဳိးဝင္း	Myo Win 	M
မ်ဳိးဝင္းေအာင္	Myo Win Aung 	M
မ်ဳိးဝင္းျမင့္	Myo Win Myint 	M
မ်ဳိးဝင္းႏိုင္	Myo Win Naing 	M
မ်ဳိးေဇာ္	Myo Zaw 	M
မ်ဳိးေဇာ္ေအာင္	Myo Zaw Aung 	M
မ်ဳိးေဇာ္ဦး	Myo Zaw Oo 	M
မ်ဳိးေဇာ္ထြန္း	Myo Zaw Tun 	M
ႏိုင္	Naing 	M
ႏိုင္ေအာင္	Naing Aung 	M
ႏိုင္ေအး	Naing Aye 	M
ႏိုင္လင္း	Naing Lin 	M
ႏိုင္လင္းေအာင္	Naing Lin Aung 	M
ႏိုင္မင္း	Naing Min 	M
ႏိုင္မိုး	Naing Moe 	M
ႏိုင္ျမင့္	Naing Myint 	M
ႏိုင္ႏိုင္	Naing Naing 	M
ႏိုင္ႏိုင္ေမာ္	Naing Naing Maw 	F
ႏိုင္ႏိုင္ဦး	Naing Naing Oo 	M
ႏိုင္ႏိုင္ဦး	Naing Naing Oo 	F
ႏိုင္ႏိုင္ဝင္း	Naing Naing Win 	F
ႏိုင္ဝင္း	Naing Oo 	M
ႏိုင္စိုး	Naing Soe 	M
ႏိုင္ထြန္း	Naing Tun 	M
ႏိုင္ဝင္း	Naing Win 	M
ႏိုင္ဝင္းေအာင္	Naing Win Aung 	M
ႏိုင္ဝင္းထြန္း	Naing Win Tun 	M
နန္း	Nan 	F
နန္းေအာင္	Nan Aung 	M
နန္းေအာင္	Nan Aung 	F
နန္းေအးၾကည္	Nan Aye Kyi 	F
နန္းေအးျမ	Nan Aye Mya 	F
နန္းလွခင္	Nan Hla Khin 	F
နန္းလွစိန္	Nan Hla Sein 	F
နန္းလႈိင္	Nan Hlaing 	M
နန္းဝွမ္	Nan Hwan 	F
နန္းခမ္း	Nan Kham 	F
နန္းခမ္းစိန္	Nan Kham Sein 	F
နန္းခမ္းယံု	Nan Kham Yone 	F
နန္းခန္း	Nan Khan 	F
နန္းခင္ေအး	Nan Khin Aye 	F
နန္းခင္ေထြး	Nan Khin Htwe 	F
နန္းခင္ၾကည္	Nan Khin Kyi 	F
နန္းခင္ေမ	Nan Khin May 	F
နန္းခင္ျမင့္	Nan Khin Myint 	F
နန္းခင္ၫြန္႔	Nan Khin Nyunt 	F
နန္းေက်ာက္	Nan Kyauk 	F
နန္းၾကဴ	Nan Kyu 	F
နန္းလာ	Nan Lar 	F
နန္းလီ	Nan Li 	F
နန္းလင္းလင္းထြန္း	Nan Lin Lin Tun 	F
နန္းမြန္	Nan Mon 	F
နန္းျမ	Nan Mya 	F
နန္းျမေအာင္	Nan Mya Aung 	F
နန္းျမေအး	Nan Mya Aye 	F
နန္းျမစိန္	Nan Mya Sein 	F
နန္းျမင့္စိန္	Nan Myint Sein 	F
နန္းနန္း	Nan Nan 	F
နန္းေငြၾကဴ	Nan Ngwe Kyu 	F
နန္းႏြယ္	Nan Nwe 	F
နန္းၫြန္႔	Nan Nyunt 	F
နန္းေဖာင္း	Nan Phaung 	F
နန္းဆိုင္၊ နန္းစိုင္	Nan Saing 	F
နန္းစန္းခမ္း	Nan San Khan 	F
နန္းစိန္	Nan Sein 	F
နန္းစိန္ေအး	Nan Sein Aye 	F
နန္းေ႐ႊ	Nan Shwe 	F
နန္းေ႐ႊခင္	Nan Shwe Khin 	F
နန္းေ႐ႊၾကည္	Nan Shwe Kyi 	F
နန္းေ႐ႊစိန္	Nan Shwe Sein 	F
နန္းေ႐ႊရည္	Nan Shwe Yi 	F
နန္းသန္းေထြး	Nan Than Htwe 	F
နန္းသိန္းဟန္	Nan Thein Han 	F
နန္းတင္တင္ေအး	Nan Tin Tin Aye 	F
နန္းတစ္	Nan Tip 	F
နန္းဝင္း	Nan Win 	M
နန္းရည္၊ နန္းရီ	Nan Yi 	F
နန္းရင္	Nan Yin 	F
နႏၵာေအး	Nandar Aye 	F
နႏၵာဝင္း	Nandar Win 	F
ေနေအာင္	Nay Aung 	M
ေနေအာင္ျမင့္	Nay Aung Myint 	M
ေနေအး	Nay Aye 	M
ေနလင္း	Nay Lin 	M
ေနလင္းေအာင္	Nay Lin Aung 	M
ေနလင္းဦး	Nay Lin Oo 	M
ေနလင္းထြန္း	Nay Lin Tun 	M
ေနမင္းထြန္း	Nay Min Tun 	M
ေနမ်ဳိး	Nay Myo 	M
ေနမ်ဳိးေအာင္	Nay Myo Aung 	M
ေနမ်ဳိးလႈိင္	Nay Myo Hlaing 	M
ေနမ်ဳိးျမင့္	Nay Myo Myint 	M
ေနမ်ဳိးႏိုင္	Nay Myo Naing 	M
ေနမ်ဳိးဦး	Nay Myo Oo 	M
ေနမ်ဳိးထြန္း	Nay Myo Tun 	M
ေနမ်ဳိးဝင္း	Nay Myo Win 	M
ေနမ်ဳိးေဇာ္	Nay Myo Zaw 	M
ေနဦး	Nay Oo 	M
ေနစိုး	Nay Soe 	M
ေနထြန္း	Nay Tun 	M
ေနထြန္းေအာင္	Nay Tun Aung 	M
ေနထြန္းဦး	Nay Tun Oo 	M
ေနဝင္း	Nay Win 	M
ေနဝင္းေအာင္	Nay Win Aung 	M
ေနဝင္းထြန္း	Nay Win Tun 	M
ေငြ	Ngwe 	M
ေငြ	Ngwe 	F
ေငြေအာင္	Ngwe Aung 	M
ေငြေဘာ္	Ngwe Baw 	M
ေငြလႈိင္	Ngwe Hlaing 	M
ေငြလႈိင္	Ngwe Hlaing 	F
ေငြခင္	Ngwe Khin 	F
ေငြၾကည္	Ngwe Kyi 	F
ေငြၾကင္	Ngwe Kyin 	F
ေငြလင္း	Ngwe Lin 	M
ေငြလြင္	Ngwe Lwin 	M
ေငြေမာင္	Ngwe Maung 	M
ေငြစန္း	Ngwe San 	M
ေငြစိန္	Ngwe Sein 	F
ေငြစိုး	Ngwe Soe 	M
ေငြသန္း	Ngwe Than 	M
ေငြသန္း	Ngwe Than 	F
ေငြေသာင္း	Ngwe Thaung 	M
ေငြသိန္း	Ngwe Thein 	M
ေငြသိန္း	Ngwe Thein 	F
ေငြတင္	Ngwe Tin 	M
ေငြတင္	Ngwe Tin 	F
ေငြတိုး	Ngwe Toe 	M
ေငြထြန္း	Ngwe Tun 	M
ေငြဝင္း	Ngwe Win 	M
ေငြဝင္း	Ngwe Win 	F
ေငြရ	Ngwe Ya 	M
ေငြရီ	Ngwe Yi 	F
ေငြရင္၊ ေငြယဥ္	Ngwe Yin 	F
ေငြေဇာ္	Ngwe Zaw 	M
ေငြဇင္	Ngwe Zin 	M
နီ	Ni 	M
နီ	Ni 	F
နီလာ	Ni Lar 	F
နီလာေအာင္	Ni Lar Aung 	F
နီနီ	Ni Ni 	M
နီနီ	Ni Ni 	F
နီနီေအာင္	Ni Ni Aung 	F
နီနီေအး	Ni Ni Aye 	F
နီနီခ်ဳိ	Ni Ni Cho 	F
နီနီလႈိင္	Ni Ni Hlaing 	F
နီနီေဌး	Ni Ni Htay 	F
နီနီေထြး	Ni Ni Htwe 	F
နီနီခိုင္	Ni Ni Khaing 	F
နီနီခင္	Ni Ni Khin 	F
နီနီေက်ာ္	Ni Ni Kyaw 	F
နီနီလြင္	Ni Ni Lwin 	F
နီနီမာ	Ni Ni Mar 	F
နီနီေမာ္	Ni Ni Maw 	F
နီနီျမင့္	Ni Ni Myint 	F
နီနီဦး	Ni Ni Oo 	F
နီနီစန္း	Ni Ni San 	F
နီနီစိန္	Ni Ni Sein 	F
နီနီ႐ွိန္	Ni Ni Shein 	F
နီနီေ႐ႊ	Ni Ni Shwe 	F
နီနီစိုး	Ni Ni Soe 	F
နီနီေဆြ	Ni Ni Swe 	F
နီနီသန္း	Ni Ni Than 	F
နီနီသိန္း	Ni Ni Thein 	F
နီနီတင္	Ni Ni Tin 	F
နီနီထြန္း	Ni Ni Tun 	F
နီနီဝင္း	Ni Ni Win 	F
နီနီရင္	Ni Ni Yin 	F
နီဝင္း	Ni Win 	M
နီလာ	Nilar 	F
နီလာေအာင္	Nilar Aung 	F
နီလာေအး	Nilar Aye 	F
နီလာဟန္	Nilar Han 	F
နီလာခင္	Nilar Khin 	F
နီလာျမင့္	Nilar Myint 	F
နီလာဦး	Nilar Oo 	F
နီလာေ႐ႊ	Nilar Shwe 	F
နီလာစိုး	Nilar Soe 	F
နီလာေဆြ	Nilar Swe 	F
နီလာသန္း	Nilar Than 	F
နီလာတင္	Nilar Tin 	F
နီလာထြန္း	Nilar Tun 	F
နီလာဝင္း	Nilar Win 	F
ႏု	Nu 	F
ႏုႏု	Nu Nu 	F
ႏုႏုေအာင္	Nu Nu Aung 	F
ႏုႏုေအး	Nu Nu Aye 	F
ႏုႏုခ်ဳိ	Nu Nu Cho 	F
ႏုႏုလႈိင္	Nu Nu Hlaing 	F
ႏုႏုေထြး	Nu Nu Htwe 	F
ႏုႏုခိုင္	Nu Nu Khaing 	F
ႏုႏုခင္	Nu Nu Khin 	F
ႏုႏုၾကည္	Nu Nu Kyi 	F
ႏုႏုလြင္	Nu Nu Lwin 	F
ႏုႏုငယ္	Nu Nu Nge 	F
ႏုႏုစန္း	Nu Nu San 	F
ႏုႏုစိန္	Nu Nu Sein 	F
ႏုႏုေ႐ႊ	Nu Nu Shwe 	F
ႏုႏုေဆြ	Nu Nu Swe 	F
ႏုႏုသန္း	Nu Nu Than 	F
ႏုႏုတင္	Nu Nu Tin 	F
ႏုႏုေဝ	Nu Nu Wai 	F
ႏုႏုဝင္း	Nu Nu Win 	F
ႏုႏုရီ၊ ႏုႏုရည္	Nu Nu Yi 	F
ႏုႏုရင္၊ ႏုႏုယဥ္	Nu Nu Yin 	F
ႏုရီ၊ ႏုရည္	Nu Yi 	F
ႏုရင္၊ ႏုယဥ္	Nu Yin 	F
ႏြယ္	Nwe 	F
ႏြယ္နီ	Nwe Ni 	F
ႏြယ္နီေအး	Nwe Ni Aye 	F
ႏြယ္နီလြင္	Nwe Ni Lwin 	F
ႏြယ္နီဦး	Nwe Ni Oo 	F
ႏြယ္နီစိုး	Nwe Ni Soe 	F
ႏြယ္နီသန္း	Nwe Ni Than 	F
ႏြယ္နီထြန္း	Nwe Ni Tun 	F
ႏြယ္နီဝင္း	Nwe Ni Win 	F
ႏြယ္ႏြယ္	Nwe Nwe 	F
ႏြယ္ႏြယ္ေအာင္	Nwe Nwe Aung 	F
ႏြယ္ႏြယ္ေအး	Nwe Nwe Aye 	F
ႏြယ္ႏြယ္လႈိင္	Nwe Nwe Hlaing 	F
ႏြယ္ႏြယ္ေဌး	Nwe Nwe Htay 	F
ႏြယ္ႏြယ္ခင္	Nwe Nwe Khin 	F
ႏြယ္ႏြယ္ၾကည္	Nwe Nwe Kyi 	F
ႏြယ္ႏြယ္လင္း	Nwe Nwe Lin 	F
ႏြယ္ႏြယ္လြင္	Nwe Nwe Lwin 	F
ႏြယ္ႏြယ္ျမင့္	Nwe Nwe Myint 	F
ႏြယ္ႏြယ္အုန္း	Nwe Nwe Ohn 	F
ႏြယ္ႏြယ္ဦး	Nwe Nwe Oo 	F
ႏြယ္ႏြယ္စန္း	Nwe Nwe San 	F
ႏြယ္ႏြယ္စိုး	Nwe Nwe Soe 	F
ႏြယ္ႏြယ္သန္း	Nwe Nwe Than 	F
ႏြယ္ႏြယ္တင္	Nwe Nwe Tin 	F
ႏြယ္ႏြယ္ထြန္း	Nwe Nwe Tun 	F
ႏြယ္ႏြယ္ေဝ	Nwe Nwe Wai 	F
ႏြယ္ႏြယ္ဝင္း	Nwe Nwe Win 	F
ႏြယ္ႏြယ္ရီ	Nwe Nwe Yi 	F
ႏြယ္ႏြယ္ရင္၊ ႏြယ္ႏြယ္ယဥ္	Nwe Nwe Yin 	F
ႏြယ္ရီ	Nwe Yi 	F
ဉာဏ္	Nyan 	M
ဉာဏ္ေအာင္	Nyan Aung 	M
ဉာဏ္လႈိင္	Nyan Hlaing 	M
ဉာဏ္ေဌး	Nyan Htay 	M
ဉာဏ္လင္း	Nyan Lin 	M
ဉာဏ္လြင္	Nyan Lwin 	M
ဉာဏ္မင္း	Nyan Min 	M
ဉာဏ္ျမင့္	Nyan Myint 	M
ဉာဏ္စိန္	Nyan Sein 	M
ဉာဏ္႐ွိန္	Nyan Shein 	M
ဉာဏ္ေ႐ႊ	Nyan Shwe 	M
ဉာဏ္စိုး	Nyan Soe 	M
ဉာဏ္သိန္း	Nyan Thein 	M
ဉာဏ္တင္	Nyan Tin 	M
ဉာဏ္ထြန္း	Nyan Tun 	M
ဉာဏ္ထြန္းေအာင္	Nyan Tun Aung 	M
ဉာဏ္ေဝ	Nyan Wai 	M
ဉာဏ္ဝင္း	Nyan Win 	M
ဉာဏ္ရည္	Nyan Yi 	M
ဉာဏ္ရင္	Nyan Yin 	M
ၿငိမ္း	Nyein 	M
ၿငိမ္း	Nyein 	F
ၿငိမ္းေအာင္	Nyein Aung 	M
ၿငိမ္းေအး	Nyein Aye 	F
ၿငိမ္းခ်မ္းေအာင္	Nyein Chan Aung 	M
ၿငိမ္းေက်ာ္	Nyein Kyaw 	M
ၿငိမ္းလြင္	Nyein Lwin 	M
ၿငိမ္းေမာင္	Nyein Maung 	M
ၿငိမ္းျမင့္	Nyein Myint 	M
ၿငိမ္းၿငိမ္း	Nyein Nyein 	F
ၿငိမ္းၿငိမ္းေအး	Nyein Nyein Aye 	F
ၿငိမ္းၿငိမ္းျမင့္	Nyein Nyein Myint 	F
ၿငိမ္းၿငိမ္းဝင္း	Nyein Nyein Win 	F
ၿငိမ္းဦး	Nyein Oo 	M
ၿငိမ္းတင္	Nyein Tin 	F
ၿငိမ္းရင္	Nyein Yin 	F
ညီ	Nyi 	M
ညီေအာင္	Nyi Aung 	M
ညီလွ	Nyi Hla 	M
ညီခင္	Nyi Khin 	M
ညီေလး	Nyi Lay 	M
ညီေမာင္	Nyi Maung 	M
ညီညီ	Nyi Nyi 	M
ညီညီေအာင္	Nyi Nyi Aung 	M
ညီညီေထြး	Nyi Nyi Htwe 	M
ညီညီေက်ာ္	Nyi Nyi Kyaw 	M
ညီညီလတ္	Nyi Nyi Lat 	M
ညီညီလင္း	Nyi Nyi Lin 	M
ညီညီလြင္	Nyi Nyi Lwin 	M
ညီညီေမာင္	Nyi Nyi Maung 	M
ညီညီျမင့္	Nyi Nyi Myint 	M
ညီညီႏိုင္	Nyi Nyi Naing 	M
ညီညီစိုး	Nyi Nyi Soe 	M
ညီညီေဆြ	Nyi Nyi Swe 	M
ညီညီတင္	Nyi Nyi Tin 	M
ညီညီထြန္း	Nyi Nyi Tun 	M
ညီညီဝင္း	Nyi Nyi Win 	M
ညီညီေဇာ္	Nyi Nyi Zaw 	M
ညီပု	Nyi Pu 	M
ညီစိန္	Nyi Sein 	M
ညီစိုး	Nyi Soe 	M
ညီတင္	Nyi Tin 	M
ညီဝင္း	Nyi Win 	M
ညိဳ	Nyo 	M
