Burmese	English	Gender
ေအာင္စန္းျမင့္၊ ေအာင္ဆန္းျမင့္	Aung San Myint 	M
ေအာင္စန္းဦး၊ ေအာင္ဆန္းဦး	Aung San Oo 	M
ေအာင္စန္းထြန္း၊ ေအာင္ဆန္းထြန္း	Aung San Tun 	M
ေအာင္စန္းဝင္း၊ ေအာင္ဆန္းဝင္း	Aung San Win 	M
ေအာင္ေစာ	Aung Saw 	M
ေအာင္စိန္	Aung Sein 	M
ေအာင္စိန္ထြန္း	Aung Sein Tun 	M
ေအာင္ဆက္	Aung Set 	M
ေအာင္႐ွမ္း၊ ေအာင္သွ်မ္း	Aung Shan 	M
ေအာင္႐ွိန္၊ ေအာင္႐ွိန္း	Aung Shein 	M
ေအာင္ေ႐ႊ	Aung Shwe 	M
ေအာင္ေ႐ႊထြန္း	Aung Shwe Tun 	M
ေအာင္စည္	Aung Si 	M
ေအာင္ဆင့္	Aung Sint 	M
ေအာင္စိုး	Aung Soe 	M
ေအာင္စိုးလင္း	Aung Soe Lin 	M
ေအာင္စိုးလြင္	Aung Soe Lwin 	M
ေအာင္စိုးမင္း	Aung Soe Min 	M
ေအာင္စိုးမိုး	Aung Soe Moe 	M
ေအာင္စိုးျမင့္	Aung Soe Myint 	M
ေအာင္စိုးဦး	Aung Soe Oo 	M
ေအာင္စိုးသိန္း	Aung Soe Thein 	M
ေအာင္စိုးဝင္း	Aung Soe Win 	M
ေအာင္ေဆြ	Aung Swe 	M
ေအာင္ေဆြျမင့္	Aung Swe Myint 	M
ေအာင္ေဆြဦး	Aung Swe Oo 	M
ေအာင္သိုက္	Aung Thaik 	M
ေအာင္သန္း	Aung Than 	M
ေအာင္သန္းေဌး	Aung Than Htay 	M
ေအာင္သန္းလြင္	Aung Than Lwin 	M
ေအာင္သန္းျမင့္	Aung Than Myint 	M
ေအာင္သန္းၫြန္႔	Aung Than Nyunt 	M
ေအာင္သန္းဦး	Aung Than Oo 	M
ေအာင္သန္းစိန္	Aung Than Sein 	M
ေအာင္သန္းထြန္း	Aung Than Tun 	M
ေအာင္သန္းဝင္း	Aung Than Win 	M
ေအာင္သန္းေဇာ္	Aung Than Zaw 	M
ေအာင္သန္႔	Aung Thant 	M
ေအာင္သာ	Aung Thar 	M
ေအာင္သာေက်ာ္	Aung Thar Kyaw 	M
ေအာင္သာထြန္း	Aung Thar Tun 	M
ေအာင္ေသာင္း	Aung Thaung 	M
ေအာင္ေသာ္	Aung Thaw 	M
ေအာင္သိုက္	Aung Theik 	M
ေအာင္သိန္း	Aung Thein 	M
ေအာင္သိန္းဟန္	Aung Thein Han 	M
ေအာင္သိန္းျမင့္	Aung Thein Myint 	M
ေအာင္သိန္းဦး	Aung Thein Oo 	M
ေအာင္သိန္းထြန္း	Aung Thein Tun 	M
ေအာင္သိန္းဝင္း	Aung Thein Win 	M
ေအာင္သက္	Aung Thet 	M
ေအာင္သက္ဦး	Aung Thet Oo 	M
ေအာင္သင္း	Aung Thin 	M
ေအာင္သစ္	Aung Thit 	M
ေအာင္သူ	Aung Thu 	M
ေအာင္သူထြန္း	Aung Thu Tun 	M
ေအာင္သူရ	Aung Thura 	M
ေအာင္သြင္	Aung Thwin 	M
ေအာင္တင္	Aung Tin 	M
ေအာင္တင္ျမင့္	Aung Tin Myint 	M
ေအာင္တင္ဦး	Aung Tin Oo 	M
